╚╒╞┌,╩▒╝ф(▒▒╛й╩▒),╬│╢╚(╢╚-╖╓),╛н╢╚(╢╚-╖╓),╔ю╢╚(km),╒Ё╝╢,┴╥╢╚,╛л╚╖╢╚,▓╬┐╝╡╪╡у
1537/05/13,::.,"33бу36""","117бу36""",,5.5,VII,9,
1538/00/00,::.,"38бу00""","115бу36""",,5,VI,9,
1539/08/08,::.,"23бу36""","102бу48""",,5.5,,9,
1540/00/00,::.,"36бу36""","110бу00""",,4.75,VI,9,
1542/00/00,::.,"39бу00""","111бу06""",,5,VI,9,
1542/11/19,::.,"34бу42""","104бу54""",,5,VI,9,
1548/09/13,::.,"38бу00""","121бу00""",,7,,9,
1549/04/00,::.,"37бу00""","111бу54""",,5,VI,9,
1551/00/00,::.,"25бу48""","105бу12""",,5,VI,9,
1556/01/23,::.,"34бу30""","109бу42""",,8,XI,9,
1556/12/03,::.,"38бу48""","101бу06""",,5,VI,9,
1558/06/00,::.,"37бу30""","112бу12""",,5,VI,9,
1558/06/00,::.,"23бу24""","111бу30""",,5.5,VII,9,
1558/11/21,::.,"34бу30""","109бу42""",,5.5,VII,9,
1560/00/00,::.,"24бу12""","102бу42""",,5.5,VII,9,
1560/04/00,::.,"24бу54""","103бу12""",,5.5,VII,9,
1561/02/21,::.,"38бу48""","101бу06""",,5,VI,9,
1561/07/25,::.,"37бу30""","106бу00""",,7.25,IX,9,
1562/00/00,::.,"25бу48""","116бу00""",,5,VI,9,
1562/00/00,::.,"38бу30""","106бу18""",,5,VI,9,
1562/06/00,::.,"39бу36""","118бу42""",,5,VI,9,
1567/00/00,::.,"39бу42""","119бу12""",,4.75,VI,9,
1568/01/00,::.,"34бу12""","109бу18""",,5,VI,9,
1568/04/00,::.,"34бу24""","109бу12""",,5.5,VII,9,
1568/04/01,::.,"38бу30""","106бу18""",,5.75,VII,9,
1568/04/12,::.,"33бу06""","107бу00""",,5,VI,9,
1568/04/25,::.,"39бу00""","119бу00""",,6,,9,
1568/05/15,::.,"34бу24""","109бу00""",,6.75,IX,9,
1569/00/00,::.,"32бу42""","109бу00""",,5,VI,9,
1569/00/00,::.,"34бу36""","110бу18""",,5,VI,9,
1571/05/26,::.,"23бу48""","113бу30""",,5,VI,9,
1571/09/09,::.,"24бу06""","102бу42""",,6,VIII,9,
1572/00/00,::.,"26бу12""","104бу06""",,5,VI,9,
1573/01/10,::.,"34бу24""","104бу00""",,6.75,,9,
1574/00/00,::.,"27бу36""","119бу06""",,5.5,VII,9,
1574/08/19,::.,"26бу06""","119бу18""",,5.75,VII,9,
1577/03/13,::.,"25бу00""","98бу36""",,6.5,VIII,9,
1578/02/17,::.,"25бу06""","110бу12""",,4.75,VI,9,
1578/07/17,::.,"40бу24""","115бу42""",,5,VI,9,
1579/12/21,::.,"25бу06""","99бу06""",,5,VI,9,
1580/09/05,::.,"39бу30""","112бу18""",,5.5,VII,9,
1581/05/18,::.,"39бу48""","114бу30""",,5.75,VII,9,
1581/07/00,::.,"33бу00""","104бу36""",,5.5,VII,9,
1582/03/00,::.,"40бу06""","113бу18""",,5,VI,9,
1583/04/00,::.,"39бу48""","114бу00""",,5.5,VII,9,
1584/00/00,::.,"38бу24""","111бу54""",,4.75,VI,9,
1585/03/06,::.,"31бу12""","117бу42""",,5.5,VII,9,
1586/04/02,::.,"25бу18""","100бу18""",,5.5,VII,9,
1586/05/26,::.,"39бу54""","116бу18""",,5,VI,9,
1587/04/10,::.,"35бу18""","113бу30""",,6,VII,9,
1587/10/04,::.,"35бу12""","110бу48""",,5,VI,9,
1588/07/00,::.,"38бу24""","112бу42""",,5,VI,9,
1588/08/09,::.,"24бу00""","102бу48""",,6,VIII,9,
1589/00/00,::.,"24бу48""","110бу30""",,4.75,VI,9,
1590/07/07,::.,"35бу24""","103бу54""",,5.5,VII,9,
1591/00/00,::.,"36бу36""","110бу00""",,5,VI,9,
1591/11/21,::.,"38бу48""","101бу06""",,5,VI,9,
1592/01/00,::.,"25бу00""","98бу30""",,5.5,VII,9,
1596/00/00,::.,"42бу36""","124бу00""",,5,VI,9,
1596/10/00,::.,"25бу00""","118бу42""",,4.75,VI,9,
1597/02/14,::.,"31бу54""","104бу18""",,5,VI,9,
1597/10/06,::.,"38бу30""","120бу00""",,7,,9,
1599/00/00,::.,"35бу36""","109бу12""",,5,VI,9,
1599/08/00,::.,"25бу30""","110бу24""",,4.75,VI,9,
1599/10/16,::.,"25бу18""","103бу00""",,5,VI,9,
1600/07/00,::.,"21бу36""","110бу18""",,4.75,VI,9,
1600/09/29,::.,"23бу30""","117бу12""",,7,IX,9,
1602/10/23,::.,"26бу06""","99бу54""",,5,VI,9,
1602/00/00,::.,"25бу48""","105бу12""",,4.75,VI,9,
1603/05/30,::.,"31бу12""","112бу36""",,4.75,VI,9,
1604/10/25,::.,"34бу12""","105бу00""",,6,,9,
1604/12/29,::.,"25бу00""","119бу30""",,8,,9,
1605/07/13,::.,"19бу54""","110бу30""",,7.5,X,9,
1605/12/15,::.,"19бу54""","110бу30""",,6,VIII,9,
1606/11/30,::.,"23бу36""","102бу48""",,6.5,,9,
1607/00/00,::.,"25бу00""","119бу30""",,5,VI,9,
1608/09/23,::.,"37бу42""","105бу48""",,5.5,VII,9,
1609/07/12,::.,"39бу12""","99бу00""",,7.25,X,9,
1610/02/03,::.,"28бу30""","104бу36""",,5.5,VII,9,
1610/03/13,::.,"32бу18""","104бу42""",,5.5,VII,9,
1611/04/00,::.,"24бу00""","97бу48""",,4.75,,9,
1611/09/09,::.,"21бу30""","111бу18""",,5.5,VII,9,
1612/06/00,::.,"25бу24""","103бу12""",,5.5,,9,
1612/06/03,::.,"25бу30""","103бу54""",,5,VI,9,
1614/10/23,::.,"37бу12""","112бу30""",,6.5,,9,
1615/03/01,::.,"32бу00""","120бу54""",,5,VI,9,
1615/07/20,::.,"38бу48""","106бу18""",,5.5,VII,9,
1615/08/24,::.,"25бу00""","101бу30""",,5.5,VII,9,
